1,太原市,1,医药制造业,32
1,太原市,2,铁路、船舶、航空航天和其他运输设备制造业,37
1,太原市,3,专用设备制造业,159
1,太原市,4,电气机械和器材制造业,73
1,太原市,5,计算机、通信和其他电子设备制造业,154
1,太原市,6,仪器仪表制造业,41
10,临汾市,1,医药制造业,18
10,临汾市,2,铁路、船舶、航空航天和其他运输设备制造业,2
10,临汾市,3,专用设备制造业,45
10,临汾市,4,电气机械和器材制造业,9
10,临汾市,5,计算机、通信和其他电子设备制造业,11
10,临汾市,6,仪器仪表制造业,4
11,吕梁市,1,医药制造业,11
11,吕梁市,2,铁路、船舶、航空航天和其他运输设备制造业,1
11,吕梁市,3,专用设备制造业,41
11,吕梁市,4,电气机械和器材制造业,27
11,吕梁市,5,计算机、通信和其他电子设备制造业,14
11,吕梁市,6,仪器仪表制造业,16
2,大同市,1,医药制造业,22
2,大同市,2,铁路、船舶、航空航天和其他运输设备制造业,8
2,大同市,3,专用设备制造业,46
2,大同市,4,电气机械和器材制造业,26
2,大同市,5,计算机、通信和其他电子设备制造业,8
2,大同市,6,仪器仪表制造业,2
3,阳泉市,1,医药制造业,1
3,阳泉市,2,铁路、船舶、航空航天和其他运输设备制造业,0
3,阳泉市,3,专用设备制造业,42
3,阳泉市,4,电气机械和器材制造业,11
3,阳泉市,5,计算机、通信和其他电子设备制造业,13
3,阳泉市,6,仪器仪表制造业,4
4,长治市,1,医药制造业,17
4,长治市,2,铁路、船舶、航空航天和其他运输设备制造业,2
4,长治市,3,专用设备制造业,46
4,长治市,4,电气机械和器材制造业,26
4,长治市,5,计算机、通信和其他电子设备制造业,28
4,长治市,6,仪器仪表制造业,8
5,晋城市,1,医药制造业,8
5,晋城市,2,铁路、船舶、航空航天和其他运输设备制造业,0
5,晋城市,3,专用设备制造业,41
5,晋城市,4,电气机械和器材制造业,15
5,晋城市,5,计算机、通信和其他电子设备制造业,20
5,晋城市,6,仪器仪表制造业,5
6,朔州市,1,医药制造业,10
6,朔州市,2,铁路、船舶、航空航天和其他运输设备制造业,0
6,朔州市,3,专用设备制造业,18
6,朔州市,4,电气机械和器材制造业,8
6,朔州市,5,计算机、通信和其他电子设备制造业,4
6,朔州市,6,仪器仪表制造业,3
7,晋中市,1,医药制造业,23
7,晋中市,2,铁路、船舶、航空航天和其他运输设备制造业,5
7,晋中市,3,专用设备制造业,100
7,晋中市,4,电气机械和器材制造业,50
7,晋中市,5,计算机、通信和其他电子设备制造业,27
7,晋中市,6,仪器仪表制造业,8
8,运城市,1,医药制造业,49
8,运城市,2,铁路、船舶、航空航天和其他运输设备制造业,13
8,运城市,3,专用设备制造业,69
8,运城市,4,电气机械和器材制造业,68
8,运城市,5,计算机、通信和其他电子设备制造业,33
8,运城市,6,仪器仪表制造业,10
9,忻州市,1,医药制造业,11
9,忻州市,2,铁路、船舶、航空航天和其他运输设备制造业,1
9,忻州市,3,专用设备制造业,40
9,忻州市,4,电气机械和器材制造业,12
9,忻州市,5,计算机、通信和其他电子设备制造业,12
9,忻州市,6,仪器仪表制造业,5
